species,recording,distance_mm,gain,sigma_s,kernel_delay_s,kernel_r2,attenuation,broadening,cv
Sensitive Mimosa,BYB_Recording_2024-07-11_11.28.52,18.02,0.8465314103946778,0.0,1.7595461897283233,0.9010039452859673,0.985,0.789,10.536
Sensitive Mimosa,BYB_Recording_2024-07-11_11.50.12,12.42,1.1393480117412158,0.0,0.8597782517990671,0.8812258357655816,1.372,0.775,14.289
Sensitive Mimosa,BYB_Recording_2024-07-11_12.37.51,13.13,1.0523278725450673,0.1,0.9397576240594454,0.8676183702652709,1.028,1.034,14.354
Sensitive Mimosa,BYB_Recording_2024-07-11_13.14.26,14.6,0.7067680270937143,0.2,1.7195565035981342,0.36388469263477274,1.014,1.343,7.94
Tomato,BYB_Recording_2024-02-03_21.26.23,6.24,0.49987041814193883,0.1,0.16,0.6741657343650944,0.806,0.832,
Tomato,BYB_Recording_2024-02-03_21.30.34,10.08,0.4258977614556897,0.9,0.56,0.657025620295075,0.309,1.021,16.628
Tomato,BYB_Recording_2024-02-06_19.19.43,10.6,2.3403523921694975,3.0,2.68,0.33742115562194197,0.928,1.025,8.43
Tomato,BYB_Recording_2024-02-06_20.01.08,10.8,0.15493589877596076,0.0,0.78,0.3025393522115942,0.249,1.582,13.776
Tomato,BYB_Recording_2024-02-12_20.26.05,8.04,0.6914933100143414,0.7000000000000001,4.82,0.7633625974718106,0.439,2.387,1.661
Tomato,BYB_Recording_2024-02-19_18.44.04,9.19,1.0562284248106173,0.30000000000000004,1.54,0.4998178382781928,1.211,1.016,6.237
Tomato,BYB_Recording_2024-06-26_23.32.41,,0.3480686805431098,0.6000000000000001,2.4,0.8991879217792528,0.228,1.575,
Tomato,BYB_Recording_2024-06-26_23.54.25,,1.4615203547596853,1.1,0.08,0.664419919449273,1.143,3.066,
Tomato,BYB_Recording_2024-06-27_00.22.45,,3.2539745781547427,0.6000000000000001,1.1,0.7041282413519014,2.83,2.729,
Tomato,BYB_Recording_2024-07-05_16.48.00,10.4,0.9748371212729201,2.0,3.88,0.8746183198964714,0.444,2.37,3.064
Tomato,BYB_Recording_2024-07-05_16.51.56,10.5,0.9748614176198824,0.6000000000000001,0.98,0.7668122229943146,0.874,1.313,10.651
Tomato,BYB_Recording_2024-07-09_15.12.30,,1.1175028826214009,0.30000000000000004,0.5398607627575538,0.9776477624598325,1.177,0.864,
Tomato,BYB_Recording_2024-07-10_11.32.51,,1.4013497280771876,0.8,2.839267715243431,0.7971549296480064,1.352,1.392,
Venus Flytrap,BYB_Recording_2024-01-28_16.49.19,13.36,0.2823856197837256,0.30000000000000004,0.36,0.4609825462493723,0.192,1.135,26.55
Venus Flytrap,BYB_Recording_2024-05-16_22.38.00,12.41,0.13052001910321134,0.2,0.58,0.6695614873529742,0.136,0.384,29.832
Venus Flytrap,BYB_Recording_2024-05-21_00.22.52,9.36,0.40494705323232666,0.2,0.68,0.7197306224445448,0.423,0.34,19.747
Venus Flytrap,BYB_Recording_2024-05-22_23.31.14,14.25,0.09477080576384142,0.0,0.46,0.7017944212790899,0.119,1.062,28.386
Venus Flytrap,BYB_Recording_2024-05-22_23.36.51,9.68,0.5195254739727418,0.1,0.3,0.6485513574368964,0.533,1.357,31.947
Venus Flytrap,BYB_Recording_2024-05-23_22.13.46,13.12,0.4963186082305767,0.1,0.3,0.8497967599577508,0.477,0.898,63.382
Venus Flytrap,BYB_Recording_2024-05-25_20.35.34,17.8,0.3067515522615964,0.2,0.38,0.852976788565913,0.212,4.025,43.842
Venus Flytrap,BYB_Recording_2024-05-27_22.48.45,8.64,1.2042115957479194,0.2,0.4,0.9045368789401788,0.939,1.381,27.71
Venus Flytrap,BYB_Recording_2024-05-29_00.04.58,12.42,0.38036538567666345,0.1,0.28,0.5408208524139204,0.479,0.733,56.047
Venus Flytrap,BYB_Recording_2024-05-29_00.16.30,11.06,0.43981359123902747,0.0,0.44,0.8294794946672476,0.581,1.278,24.286
Venus Flytrap,BYB_Recording_2024-05-30_01.09.15,,0.22578020711194796,0.0,0.22,0.65763274125004,0.253,1.232,
Venus Flytrap,BYB_Recording_2024-06-01_21.44.30,,1.0009324608725283,0.1,0.3,0.7259642364143222,0.769,1.162,
Venus Flytrap,BYB_Recording_2024-07-03_11.24.59,6.5,0.1429328513728602,0.4,1.6995616605330397,0.13770829946008778,0.177,1.256,22.214
Venus Flytrap,BYB_Recording_2025-01-10_17.18.20_Venus_11 mm_2record,11.0,0.31383818746374487,0.4,2.1394482079651205,0.24349781853213248,0.231,1.409,37.884
