species,recording,distance_mm,a,b,tau,delayed_fraction,r2_active,r2_passive,delay_resolved2,cv_2tap
Rosemary,BYB_Recording_2024-02-26_19.10.25,9.84,0.08221741501887643,0.352384303362754,2.3999999999997783,0.8108212380635825,0.8446448425734145,0.7323741168499212,True,4.100000000000379
Rosemary,BYB_Recording_2024-02-29_17.20.55,,0.08967505676759474,0.3488188509513179,0.8599999999998111,0.7954930383546421,0.9232622561010358,0.8544001011391271,True,
Ruda,BYB_Recording_2024-01-17_20.14.33,14.88,0.0143363893413005,0.38523965562405577,0.47999999999981924,0.9641209989389041,0.8981085690016332,0.7827332830489667,True,31.000000000011674
Ruda,BYB_Recording_2024-02-05_19.17.48,13.84,0.1871363442749489,0.25000132715279105,1.4999999999997975,0.5719052451742699,0.662204219018396,0.6082966450980671,True,9.226666666667912
Ruda,BYB_Recording_2024-02-20_19.48.40,15.21,0.16363787409949998,0.33978215953452007,2.31999999999978,0.6749476318646814,0.6403799525629019,0.6057727308739436,True,6.556034482759243
Ruda,BYB_Recording_2024-02-20_19.51.32,17.36,0.07792792110666037,0.390390106599668,2.1599999999997834,0.833600424292171,0.6992659545221662,0.8338432733320658,True,8.037037037037843
Ruda,BYB_Recording_2024-02-20_19.54.12,10.78,0.030110649296956928,0.1752727451878341,1.099999999999806,0.8533929708753223,0.8338358075759118,0.8003273410586285,True,9.800000000001727
Ruda,BYB_Recording_2024-02-20_19.57.31,8.15,-0.025577818869115462,0.7322127482282369,0.8799999999998107,0.9662468497502035,0.6467053703181799,0.601426402228163,True,9.26136363636563
Ruda,BYB_Recording_2024-02-22_18.37.41,8.39,0.028083907905502272,0.14647599681997917,3.2399999999997604,0.8391159301463418,0.5586225856795829,0.5007526768053621,True,2.5895061728396978
Ruda,BYB_Recording_2024-02-22_18.44.37,8.99,0.028481153656902417,0.10826594286139145,2.9199999999997672,0.7917238875116281,0.14892299250496865,0.8434248666924489,True,3.078767123287917
Ruda,BYB_Recording_2024-02-23_20.25.25,7.11,0.18392581686908832,0.16813235878559069,1.1799999999998043,0.47756981775223867,0.8003495428715433,0.7996953236649089,True,6.025423728814559
Ruda,BYB_Recording_2024-02-29_16.58.27,8.96,1.6219036934549846,0.780266306573672,3.9399999999997455,0.324817272118278,0.5052948204169647,0.30926728649899426,True,2.2741116751270507
Ruda,BYB_Recording_2024-03-04_19.50.01,9.15,0.2273968771605231,0.28609186560822597,0.9399999999998094,0.5571531404283737,0.8854063446371272,0.9058319959451153,True,9.734042553193463
Ruda,BYB_Recording_2024-03-04_20.01.12,11.66,0.015432223961440509,0.09328272605684632,4.059999999999743,0.8580487416050445,0.12614373180468963,0.8980018777600596,True,2.871921182266192
Ruda,BYB_Recording_2024-03-06_21.31.33,10.3,0.056961543339550176,0.41152784649188,0.7199999999998141,0.8784144431530332,0.9752500208232084,0.9510381075495368,True,14.30555555555925
Ruda,BYB_Recording_2024-03-06_21.44.52,9.32,0.04395691678672358,0.32852102464996225,0.5199999999998184,0.8819878658661578,0.8053074735019197,0.7637312383379171,True,17.923076923083183
Sensitive Mimosa,BYB_Recording_2021-07-26_12.46.45,40.0,0.08654577222142766,0.12725271327900642,0.7999999999998124,0.5951993204308647,0.8283604778352122,0.8181017763509125,True,50.000000000011724
Sensitive Mimosa,BYB_Recording_2024-06-27_17.07.10,21.6,-0.02175377209050259,0.776805818239851,0.9999999999998082,0.9727587366629667,0.8786609772911501,0.6749082285717871,True,21.600000000004144
Sensitive Mimosa,BYB_Recording_2024-06-27_17.25.17,14.8,0.05631631939219946,0.2278338212278003,1.2799999999998022,0.8018078778024871,0.93866672496174,0.685421218642929,True,11.562500000001787
Sensitive Mimosa,BYB_Recording_2024-06-27_17.42.19,15.9,0.04859602262676009,0.39473214286965214,1.4599999999997983,0.8903836335948897,0.8713781879055269,0.6230083682678624,True,10.890410958905614
Sensitive Mimosa,BYB_Recording_2024-06-27_18.31.29,13.9,0.033987656745835204,0.17584175493675133,1.2999999999998018,0.8380224370201778,0.7602401252310902,0.39048535687689145,True,10.692307692309322
Sensitive Mimosa,BYB_Recording_2024-06-27_18.48.14,9.5,10.133912148786854,-4.615783746150505,0.39999999999982094,0.31294094325936667,0.3618700693471346,0.11660181448717888,True,23.750000000010633
Sensitive Mimosa,BYB_Recording_2024-06-27_19.01.26,15.3,0.7824051556087006,3.478878399753415,0.9999999999998082,0.8163921397288443,0.8512887231180113,0.4317540680013302,True,15.300000000002935
Sensitive Mimosa,BYB_Recording_2024-06-27_19.15.52,14.1,-0.1703443110827882,5.126657744179487,0.679999999999815,0.9678413734211108,0.8656087537950495,0.7102167582990936,True,20.7352941176527
Sensitive Mimosa,BYB_Recording_2024-06-27_19.57.29,15.5,-1.2086503877478993,5.216217444301367,0.37999999999982137,0.8118793383236975,0.9503475389370475,0.7256340301391493,True,40.7894736842297
