species,recording,base_r,event_r,r0,rpk,r0_over_rpk,lagpk
Rosemary,BYB_Recording_2024-02-26_19.06.39,0.9988210861359926,0.8142855109675905,0.8142855109675905,0.8241894877457435,0.9879833740597183,0.5416
Rosemary,BYB_Recording_2024-02-26_19.10.25,0.8248667790395572,0.24087988396812698,0.24087988396812693,0.9009901322698878,0.2673501910184876,2.3204
Rosemary,BYB_Recording_2024-02-29_17.20.55,0.3608403998831532,0.7348370074050831,0.7348370074050832,0.951985212522236,0.771899602787075,0.7322
Ruda,BYB_Recording_2024-01-17_20.14.33,0.14210989002673302,0.7785525796333714,0.7785525796333714,0.9487620025273106,0.820598398291104,0.4728
Ruda,BYB_Recording_2024-02-05_19.17.48,0.7848171675730391,0.6900292687538542,0.690029268753854,0.7379646932786306,0.935043742659545,1.3818
Ruda,BYB_Recording_2024-02-20_19.48.40,-0.7338967038631495,0.5567340749968304,0.5567340749968306,0.6770511992196815,0.8222924287535132,2.1156
Ruda,BYB_Recording_2024-02-20_19.51.32,0.7919037620147958,0.3840277591936881,0.384027759193688,0.8633963609823774,0.44478732659556147,2.0096
Ruda,BYB_Recording_2024-02-20_19.54.12,-0.4953833249277017,0.72373408431331,0.72373408431331,0.909500635453721,0.7957488495346263,0.9692
Ruda,BYB_Recording_2024-02-20_19.57.31,0.6293441241803988,0.6213846170654982,0.621384617065498,0.7928284079161736,0.7837567509705045,0.8588
Ruda,BYB_Recording_2024-02-22_18.37.41,0.7570718169973704,0.12439682723136357,0.12439682723136351,0.8045204449175728,0.1546223318713903,3.1488
Ruda,BYB_Recording_2024-02-22_18.44.37,0.9382733473102518,-0.14196034973021476,-0.14196034973021482,0.5616719653771467,-0.25274601276368225,2.945
Ruda,BYB_Recording_2024-02-23_20.25.25,0.98080145461339,0.8131848384896205,0.8131848384896206,0.8474601657955229,0.9595552349369395,0.49
Ruda,BYB_Recording_2024-02-29_16.58.27,0.9142268617144437,0.7562142094250928,0.7562142094250928,0.7578157472587372,0.9978866395434012,0.0246
Ruda,BYB_Recording_2024-03-04_19.50.01,0.9603430135484649,0.8781112987331121,0.8781112987331121,0.9217792941762292,0.952626408817154,0.4988
Ruda,BYB_Recording_2024-03-04_20.01.12,0.7302446869650137,-0.04645332470074425,-0.046453324700744245,0.6113013705681283,-0.07599087281216413,4.0158
Ruda,BYB_Recording_2024-03-06_21.31.33,0.07959816993677969,0.7787840372671906,0.7787840372671907,0.9775139834796576,0.79669861549699,0.6502
Ruda,BYB_Recording_2024-03-06_21.44.52,0.9647205489304428,0.8724408505262417,0.872440850526242,0.8829491327834195,0.9880986549881406,0.3192
Sensitive Mimosa,BYB_Recording_2021-07-26_12.46.45,0.962403116892336,0.7136848115627195,0.7136848115627193,0.8901858178854899,0.8017256590966326,-0.4854
Sensitive Mimosa,BYB_Recording_2024-06-27_17.07.10,0.9149582368162185,-0.054043190046364674,-0.054043190046364695,0.9367666161541109,-0.05769119982972776,-1.0086
Sensitive Mimosa,BYB_Recording_2024-06-27_17.25.17,0.4719495542738673,0.10312893522251926,0.10312893522251929,0.9393381240660047,0.1097889381686298,-1.2642
Sensitive Mimosa,BYB_Recording_2024-06-27_17.42.19,0.9815442760232866,-0.06109338883649697,-0.06109338883649697,0.926372413380281,-0.06594905888180609,-1.4668
Sensitive Mimosa,BYB_Recording_2024-06-27_18.31.29,0.9652847600231402,0.06432552900902959,0.06432552900902959,0.855778800434053,0.07516606975588029,-1.296
Sensitive Mimosa,BYB_Recording_2024-06-27_18.48.14,0.9205759273735817,0.5492608370794348,0.5492608370794347,0.7165643781871662,0.7665198742770438,12.2674
Sensitive Mimosa,BYB_Recording_2024-06-27_19.01.26,0.35578779032425195,0.1734298895255095,0.17342988952550964,0.9006483509414668,0.1925611581303843,0.9848
Sensitive Mimosa,BYB_Recording_2024-06-27_19.15.52,0.8699751483798149,0.046620017986234503,0.046620017986234524,0.9334944693043505,0.04994139710434089,0.6856
Sensitive Mimosa,BYB_Recording_2024-06-27_19.57.29,-0.36679644532643957,0.5864989571060242,0.586498957106024,0.9682063631710698,0.6057582137604657,0.4412
Sensitive Mimosa,BYB_Recording_2024-07-08_16.06.58,0.9619996183245276,0.8315493409530501,0.8315493409530502,0.8316691212540662,0.9998559760150342,-0.0066
Sensitive Mimosa,BYB_Recording_2024-07-08_17.02.56,0.9779830037503999,-0.01898177915350755,-0.018981779153507444,0.9648605316465692,-0.019673080752007088,-1.9626
Sensitive Mimosa,BYB_Recording_2024-07-08_17.19.08,0.9708155304694057,0.9732381798252563,0.9732381798252566,0.9863311999030283,0.9867255338986956,0.0866
Sensitive Mimosa,BYB_Recording_2024-07-10_12.31.11,0.9096739848066662,0.5859131200194049,0.5859131200194049,0.5971875672202692,0.9811207603444534,0.09446567122195916
Sensitive Mimosa,BYB_Recording_2024-07-10_12.56.35,0.9694273914207969,0.4544192408696804,0.4544192408696803,0.46498741853742886,0.9772721212522486,-0.11982841471132885
Sensitive Mimosa,BYB_Recording_2024-07-11_11.28.52,0.9276442584396506,0.07091407253195452,0.07091407253195461,0.9494986528697292,0.07468580636489222,-1.7557488103888799
Sensitive Mimosa,BYB_Recording_2024-07-11_11.50.12,-0.416792639652288,0.24016469361687404,0.24016469361687415,0.938949479192775,0.2557802085617496,0.8648883054780713
Sensitive Mimosa,BYB_Recording_2024-07-11_12.37.51,0.9928805090249783,0.5058337923763939,0.505833792376394,0.9275902161641147,0.5453203187806144,0.9416328731159607
Sensitive Mimosa,BYB_Recording_2024-07-11_13.14.26,0.848019274624904,0.13844027364175632,0.13844027364175626,0.590047078527529,0.23462580983747255,-1.7152903119945617
