species,recording,norm,r2_active,r2_passive,sigma,gain_active,gain_passive,tau,bic_active,bic_passive,passive_gap,winner
Creeping Inchplant,BYB_Recording_2024-03-06_21.59.50,raw,-21.690854793342503,0.09230377646922316,1.9915254237288136,1.0,1.0,0.6467999999999999,35190.914411549,32299.316975321013,21.783158569811725,passive
Hierbabuena,BYB_Recording_2024-02-22_17.09.43,norm,0.11130368566954518,0.41762483853225996,1.188135593220339,0.23087849918602626,2.4634430497430073,3.6288,-18750.202140134807,-20658.45825255432,0.3063211528627148,passive
Hierbabuena,BYB_Recording_2024-02-22_17.09.43,raw,-17.235805480123435,0.4099342048061215,1.3220338983050848,1.0,1.0,3.6288,47299.75478556211,41774.71118646365,17.645739684929556,passive
Hierbabuena,BYB_Recording_2024-02-22_17.13.41,norm,0.5403711493534362,0.6402247555219369,0.7864406779661017,0.7944971714612657,1.7826633107930066,5.0652,-18884.29038971602,-20035.86234286624,0.0998536061685007,passive
Hierbabuena,BYB_Recording_2024-02-22_17.13.41,raw,-41.69185836311091,0.37415336978711455,1.723728813559322,1.0,1.0,5.0652,48739.21574202742,43247.77613098872,42.066011732898026,passive
Hierbabuena,BYB_Recording_2024-02-22_17.17.23,norm,0.1528752258477779,0.6200550956627477,1.3889830508474577,0.6901708367439277,10.524581286124045,6.93,-11116.960273102237,-14146.021442998735,0.46717986981496984,passive
Hierbabuena,BYB_Recording_2024-02-22_17.17.23,raw,-21.11849009310928,0.6128950921803252,1.3220338983050848,1.0,1.0,6.93,37540.548148298556,31330.00314637477,21.731385185289604,passive
Hierbabuena,BYB_Recording_2024-02-26_19.52.38,norm,0.6322275254899747,0.7510206379987059,0.3177966101694915,0.8752514952291219,1.3713996562797233,2.7887999999999997,-21343.597340862125,-23075.795476453874,0.11879311250873115,passive
Hierbabuena,BYB_Recording_2024-02-26_19.52.38,raw,0.6237007180456628,0.7073748293065956,0.25084745762711863,1.0,1.0,2.7887999999999997,44086.063158185505,42972.307955882796,0.08367411126093272,passive
Hierbabuena,BYB_Recording_2024-02-26_19.59.40,norm,0.14421760491022484,0.1551732372607726,0.11694915254237288,0.4467973482620804,0.49532980903606866,1.05,-17302.05254001518,-17350.494392130186,0.01095563235054775,passive
Hierbabuena,BYB_Recording_2024-02-26_19.59.40,raw,0.11707566037386352,0.14528357792046387,0.4516949152542373,1.0,1.0,1.05,45975.013863332526,45840.18157556602,0.028207917546600347,passive
Hierbabuena,BYB_Recording_2024-03-01_17.55.10,norm,0.6821937701411951,0.7142065206962772,0.3177966101694915,0.6939783579661154,0.8714334283181249,3.444,-12731.623371103682,-13028.905234273718,0.032012750555082126,passive
Hierbabuena,BYB_Recording_2024-03-01_17.55.10,raw,-4.7374633177656085,0.36365475715303375,0.9872881355932204,1.0,1.0,3.444,34580.11206609309,31297.175258188377,5.101118074918642,passive
Hierbabuena,BYB_Recording_2024-03-01_18.01.51,norm,0.764425336321689,0.7879447446210615,0.18389830508474575,0.615683184470625,0.6711958251665862,4.704,-21709.14497507605,-22137.420314175004,0.02351940829937249,passive
Hierbabuena,BYB_Recording_2024-03-01_18.01.51,raw,-6.92881974396616,0.1585744289010571,1.3889830508474577,1.0,1.0,4.704,49015.21054651923,45431.66153970077,7.087394172867217,passive
Hierbabuena,BYB_Recording_2024-03-01_18.08.05,norm,0.9675545040277745,0.9683999710507138,0.05,0.9374677480354807,0.94362601886875,0.41159999999999997,-23470.92049548981,-23552.273998264463,0.0008454670229393058,passive
Hierbabuena,BYB_Recording_2024-03-01_18.08.05,raw,-8.758872587532395,0.38443692252399486,1.255084745762712,1.0,1.0,0.41159999999999997,37286.86446261898,33303.20856451927,9.143309510056389,passive
